content,score,thumbsUpCount,at,userName
"saya mau ketik kode promo tapi tidak bisa melulu karena katanya sudah tukar kode ini mohon maaf saya merasa usaha saya belum berhasil tapi kenapa dikatakan sudah ditukarkan akhirnya voucher kode ini sudah habis tolong solusinya saya merasa seharusnya saya bisa mendapatkannya", 2, 1, 18/11/2024, M. Helmy Zakaria
"saya pelanggan goride untuk jarak pendek namun akhir akhir ini tidak nyaman dengan rekomendasi driver yang jarak jemputnya sangat jauh hampir sama dengan jarak antar jemputnya secara keseluruhan merugikan bahan bakar dan waktu tunggu", 4, 79, 11/10/2024, Ujang Sobari
"tidak suka menggunakan gojek harga gocar saat hujan langsung naik dua kali lipat dan sangat tidak masuk akal dulu kalau jarang menggunakan gojek vouchernya bisa sampai lebih dari pas setelah sering menggunakan voucher jadi hilang tidak ada satupun dalam setahun sangat kecewa lalu kalau bisa driver goride itu kalau mengemudi lebih aman jangan memotong jalan seenaknya tidak ada rasa bahaya ingin memberi bintang kasihan tolong tingkatkan pelatihan driver sangat kecewa dengan gojek sekarang", 1, 1,19/11/2024, Izzan Maulana
"setelah pembaruan aplikasi jadi ngelag dan banyak bug saya tidak bisa menambah alamat baru setelah diatur tidak ada respons dari aplikasi saat pesan makanan jarak antar menu sangat jauh dan saat membuka pilihan menu tidak muncul popup seperti biasa saat saya tekan tutup juga tidak ada respons saat tekan kembali dari menu restoran ke halaman awal juga tidak bisa harus di force close terlebih dahulu perangkat saya huawei nova t", 2, 132, 15/10/2024, Danar Analengpe
"setelah pembaruan semakin lambat performanya harus bolak balik agar bisa diklik dan masuk halaman baru berputar kadang tidak update untuk peta saat driver jalan baik gofood maupun goride mohon diperbaiki sistem pembayaran juga lambat", 3, 42, 26/10/2024, Annas Aufa
"unduh aplikasi ulang karena ponsel saya ter reset dapat empat angka kode verifikasi dimasukkan hasilnya salah kirim kode ulang dikirim lagi tetap salah sampai beberapa kali sampai akhirnya tidak bisa lagi dan harus menunggu menit bagaimana jika ada kebutuhan mendesak harus menunggu menit akhirnya saya ganti aplikasi lain", 1, 4, 04/11/2024, d gie
"sekarang tarifnya mahal sudah begitu banyak promo tapi promo hanya berlaku kalau bayar pakai kartu kredit padahal pelanggan gojek banyak yang tidak memiliki kartu kredit jadi kenapa banyak promo yang hanya berlaku untuk pengguna kartu kredit percuma saja terus kalau pesan gocar untuk jarak jauh saya sering ditolak drivernya dengan berbagai alasan", 2, 15, 02/11/2024, Fajar Nugroho
"saran saya tidak usah keluarkan banyak promo percuma driver tidak mau jemput pernah dapat driver yang mengeluh karena saya pakai promo tidak usah buang uang untuk pasang iklan sana sini dan buat marketing yang mengganggu sekarang driver sangat susah dicari pas dapat hampir semua dibatalkan seenaknya padahal sudah bilang mohon tunggu saya pesan jam pagi di jakarta tidak ada respons padahal bukan jam sibuk harusnya aplikasinya hanya muncul jika driver memang tersedia", 1, 19, 10/11/2024, Andrew Kristianto
"saya suka banget aplikasi ini dibanding yang lain tapi kenapa makin kesini banyak saya ketemu driver yang marah marah terus banyak yang tidak ramah padahal tidak meminta ini itu menunggu tidak sampai menit saja sudah protes seperti demonstrasi tidak sekali saya dimarahi sampai agak trauma jadi ingin ganti ke aplikasi lain mungkin bisa lebih di edukasi lagi para drivernya", 2, 2, 15/11/2024, arsblaafrah
"aplikasi gojek bagus cuma driver nya saja yang sudah kaya yang namanya promo apapun yang konsumen pakai seharusnya driver juga cepat ambil orderan ini mentang mentang konsumen pakai promo yang disediakan gojek malah diabaikan selama menit dan kali dapat driver malah dibatalkan begitu saja tidak sopan dan sangat mengecewakan pelanggan", 1, 12, 03/11/2024, Anggara Putra_Zaini
"bukannya gimana makin kesini makin susah buat cari driver harus pakai fitur ekstra baru bisa dapet driver kalau ekstra mana mahal banget gak mampu setiap pesan drivernya cancel terus bikin malas pakai gojek", 2, 6, 03/11/2024, Dewa Nyoman Suandia
"drivernya banyak yang malas alasannya karena terlalu jauh macet sudah dibilang gapapa ditunggu juga tapi pengennya kita yang cancel pernah juga driver yang tidak mau jemput tapi tidak mau cancel alasannya gak bisa cancel", 1, 13, 07/11/2024, Keisha Laravince
"teruntuk manajemen gojek layanan sepeda motor mitranya sangat bagus dan cepat tapi untuk layanan mobil mitranya pada buruk order nunggu lama nunggu beres orderan sebelumnya malah dibatalkan dapat yang lain juga dibatalkan lagi dapat lagi alasan jemput kejauhan kalau memang niat cari uang tidak akan ada alasan ini itu mohon ditindaklanjuti hal seperti ini", 2, 1, 19/11/2024, Achmad Buhori
"diskon ongkir gojek plus kok turun ya dari ribu jadi ribu padahal sudah langganan sampai januari mending pindah ke grab aja sama sama ribu tapi pilihan restoran yang ada diskon ongkirnya jauh lebih banyak di grab semua restoran dapat grab unlimitednya di gojek cuma sedikit yang dapat gojek plusnya sudah itu kalau pindah lokasi pengantaran restoran yang sebelumnya dapat gojek plus jadi hilang jadi hanya dapat super partner saja", 1, 3, 10/11/2024, Adji Pangestu
"buruk biasanya drivernya yang chat duluan baru pelanggan yang balas chat saya dapat driver tapi tidak chat terus tiba tiba dibatalkan tanpa konfirmasi terlebih dahulu sekarang saya yang chat duluan tapi chat saya tidak dibalas sudah nunggu lama tetap tidak ada kejelasan driver nya tidak bergerak padahal tidak macet sama sekali", 1, 5, 08/11/2024, Maria Beatrix
"driver seringkali membatalkan orderan padahal jarak sudah dekat kadang bisa sampai kali kena cancel sudah itu dapat driver yang lokasinya jauh kadang jarak jemput saja bisa sampai km semoga driver yang bersedia menjemput walau jaraknya jauh semakin banyak dan lancar untuk pihak manajemen ada sedikit masukan agar pelanggan yang setiap hari rutin menggunakan ojek online diberikan diskon harga yang lebih terjangkau dibanding pelanggan biasa", 4, 4, 12/11/2024, Erna Tan
"gojek tolong ya untuk masalah peta itu diperbarui lagi saya sudah input sesuai alamat kok jalan yang di aplikasi malah masuk perumahan sebelah kasihan drivernya jadi nyasar sedangkan memutar dari alamat yang salah ke alamat tujuan itu jauh tolong diperhatikan alamat dan rutenya ini bukan masalah sepele", 3, 1, 16/11/2024, Farasyta Erwanti
"baru kali ini dapat orderan langsung kali rencana mau pesan tapi tidak dapat dapat driver akhirnya ulang pas kedua kalinya tetap tidak dapat akhirnya saya batalkan beberapa menit kemudian dapat telepon dari driver kalau sudah sampai di titik jemput dan langsung dua driver maaf tapi sistemnya memang lagi down atau saya yang salah bingung banget pas dapat kejadian begini", 3, 1, 05/11/2024, Adiesty Chantika P
"cukup membantu di saat bepergian dan butuh makan tapi malas keluar kurangnya harga cukup mahal sering dapat driver tidak sesuai dengan yang ada di aplikasi beda orang beda kendaraan tidak pakai seragam gojek pakai jaket biasa yang lusuh pakai sandal jepit tidak hujan tolong ditertibkan drivernya kalah dengan gojek hijau sebelah yang lebih tertib", 3, 3, 13/11/2024, arriearri777
"tolong ini masalah yang sering terjadi sediakan fitur verifikasi satu kali pas ganti kode pin melalui email dong kalau nomor handphonenya tidak aktif dan lupa kode pin bisa diperbaiki pakai email seperti ini lah kirim verifikasi satu kali ke email untuk ganti kode pin ini masalah banyak orang laporan cuma gitugitu aja pelayanan buruk padahal sudah dilampirkan pakai e kartu tanda penduduk dan foto selfie pegang kartu tanda penduduk tapi tidak sesuai persyaratan padahal gopay saya sudah goplus tolong didengarkan ini masalah banyak orang", 3, 2, 10/11/2024, Haikalkw222 2
"gak ada kemajuan harusnya pihak gojek bermitra dengan mal terkait parkir biar drivernya tidak perlu meminta uang tambahan lagi banyak oknum driver sudah meminta uang tambahan alasan parkir melebih lebihkan pula uang parkir minta sebagai pengguna saya tidak perlu dibohongi seperti itu saya selalu memberi tip justru dibohongi seperti itu jadi makin malas tolong diperbaiki ke depannya", 2, 2, 08/11/2024, luvyluvy baek
"cukup kecewa dengan gocar setiap order gocar hemat selalu dibatalkan driver driver bisa sampai kali dibatalkan jadi menunggu lama giliran pakai gocar prioritas langsung dapat apa gunanya gocar hemat jika seperti ini", 1, 4, 09/11/2024, Ismi Izza
"saya baru kali dapat driver yang menerima pesanan saya tapi tidak langsung jalan jadi nego di chat dulu biar saya kasih tambahan uang lagi baru jalan itu memakan waktu banyak belum lagi kalau tempat penjemputannya jauh saya tidak tahu apakah pihak gojek terlalu banyak mengambil bagian dari driver atau bagaimana tapi saya kurang nyaman dengan keadaan ini untuk menghindari kejadian ketiga kalinya saya mau pakai aplikasi lain dulu terima kasih", 3, 29, 06/11/2024, Arief K
"aplikasi bagus tapi sekarang kalau mau cari driver suka lama padahal lagi buru buru kadang lokasi driver terlalu jauh driver suka tiba tiba cancel tanpa kabar walaupun pakai fitur prioritas tetap saja tidak dapat dapat tolong diperbaiki banyak driver di sekitar tapi kenapa pencarian drivernya sangat lama saya juga pernah dapat driver yang tiba tiba marah dan tidak ramah", 3, 8, 18/11/2024, 07 - X8 - Callystha Aysel Aulia
